"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"JNJ","Johnson & Johnson","102.49","283584052536.21","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/jnj",
"JCI","Johnson Controls, Inc.","45.7","29890972996.7","n/a","United States","n/a","Consumer Durables","Industrial Specialties","http://www.nasdaq.com/symbol/jci",
"JOUT","Johnson Outdoors Inc.","23.38","233963239.16","n/a","United States","n/a","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/jout",
"JONE","Jones Energy, Inc.","5.49","339239633.67","n/a","United States","2013","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/jone",
"JLL","Jones Lang LaSalle Incorporated","161.79","7287156694.65","n/a","United States","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/jll",
"JMG","Journal Media Group, Inc.","11.92","290937793.36","n/a","United States","2015","Consumer Services","Newspapers/Magazines","http://www.nasdaq.com/symbol/jmg",
"JOY","Joy Global Inc.","15.11","1472840873.58","n/a","United States","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/joy",
"JPEP","JP Energy Partners LP","6.69","244805437.29","n/a","United States","2014","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/jpep",
"JFC","JPMorgan China Region Fund, Inc.","16.02","0","n/a","United States","1992","n/a","n/a","http://www.nasdaq.com/symbol/jfc",
"JNPR","Juniper Networks, Inc.","30.2","11652737436.6","n/a","United States","1999","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/jnpr",
"JNP","Juniper Pharmaceuticals, Inc.","11.47","123893767.03","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/jnp",
"JUNO","Juno Therapeutics, Inc.","53.62","5395103164.92","n/a","United States","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/juno",
"LRN","K12 Inc","9.5","369927188","n/a","United States","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/lrn",
"KTWO","K2M Group Holdings, Inc.","19.58","807260471.82","n/a","United States","2014","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/ktwo",
